ETATS ACHEMINEMENT RIVIERE MILIEUX HUMIDES RIVERAIN;ONDE CINEMATIQUE MODIFIEE( 4.3.6.0033 )
DATE_HEURE;2020-07-01 00:00

TRONCON;WET V;WET A;WET D;OCM QAMONT 1;OCM QAPPORTLAT 1;OCM QAVAL 1;OCM QAMONT 2;OCM QAPPORTLAT 2;OCM QAVAL 2;OCM QAMONT 3;OCM QAPPORTLAT 3;OCM QAVAL 3
158;0.001000000047;840.386657714844;0.000001189928;0.055243395269;0.000000734165;0.055244270712;0.055244270712;0.000529480691;0.055773749948;0.055773749948;0.000000734165;0.055547758937
160;0.409587919712;5328.779785156250;0.000076863362;0.000000000000;0.000066690613;0.000066690845;0.000066690845;0.000080470607;0.000147161452;0.000147161452;0.000066690613;0.000488892430
161;0.445282876492;5455.482421875000;0.000081621176;0.000000000000;0.000089153938;0.000089153938;0.000089153938;0.000130337023;0.000219490961;0.000219490961;0.000089153938;0.000611447031
162;0.307969540358;2458.500976562500;0.000125267194;0.000000000000;0.000000102577;0.000000120427;0.000000120427;0.000171281601;0.000171402047;0.000171402047;0.000000102577;0.000171502994
163;1.488210201263;14221.337890625000;0.000104646293;0.000000000000;0.000068009824;0.000068009816;0.000068009816;0.001838719239;0.001906729070;0.001906729070;0.000068009824;0.001974738901
165;0.640594780445;9162.359375000000;0.000069915921;0.000000000000;0.001675953739;0.001680633053;0.001680633053;0.001839835662;0.003520468716;0.003520468716;0.001675953739;0.005204968154
166;0.001000000047;34.540519714355;0.000028951503;0.000000000000;0.010069059208;0.010069319047;0.010069319047;0.000038191683;0.010107510723;0.010107510723;-0.000000000000;0.010107510723
167;0.063837781549;1155.066162109375;0.000055267636;0.000000000000;0.000440183649;0.000441365788;0.000441365788;0.000251586753;0.000692952541;0.000692952541;0.001000308432;0.001724975999
168;0.001000000047;284.996368408203;0.000003508817;0.005231638905;0.000641938881;0.005902144127;0.005902144127;0.000331185554;0.006233329419;0.006233329419;0.000553709338;0.006803837605
169;0.042813785374;845.633789062500;0.000050629224;0.000000000000;0.002761548851;0.002761548851;0.002761548851;0.000108957378;0.002870506141;0.002870506141;0.000000000000;0.002870506141
170;0.451474577188;1834.570312500000;0.000246092794;0.000000000000;0.001695631654;0.001695632585;0.001695632585;0.000200947339;0.001896579866;0.001896579866;0.000464552402;0.002361132763
171;0.023396879435;30.147201538086;0.000776087923;0.000000000000;0.000872133940;0.000872133940;0.000872133940;0.000000392512;0.000872526492;0.000872526492;0.000000000000;0.000872526492
