PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;RAYONNEMENT NET

UHRH ID; ALBEDO (0.23 SURFACE REFERENCE); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT A); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT B); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT C); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT A); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT B); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT C); EMISSIVITE DE LA SURFACE (COEFFICIENT A); EMISSIVITE DE LA SURFACE (COEFFICIENT B)
118;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
119;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
120;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
121;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
122;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
123;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
124;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
125;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
126;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
127;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
128;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
129;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
130;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
131;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
132;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
133;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
134;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
135;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
136;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
137;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
138;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
139;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
140;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
141;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
142;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
143;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
144;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
145;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
146;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
147;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
148;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
149;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
