PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;LINACRE

UHRH ID; TEMPERATURE MOIS PLUS FROID (C); TEMPERATURE MOIS PLUS CHAUD (C); ALBEDO (0.23 SURFACE REFERENCE); COEFFICIENT MULTIPLICATIF OPTIMISATION
266;-10;20;0.23;1
267;-10;20;0.23;1
268;-10;20;0.23;1
269;-10;20;0.23;1
270;-10;20;0.23;1
271;-10;20;0.23;1
272;-10;20;0.23;1
273;-10;20;0.23;1
274;-10;20;0.23;1
275;-10;20;0.23;1
276;-10;20;0.23;1
277;-10;20;0.23;1
278;-10;20;0.23;1
279;-10;20;0.23;1
280;-10;20;0.23;1
281;-10;20;0.23;1
282;-10;20;0.23;1
283;-10;20;0.23;1
284;-10;20;0.23;1
285;-10;20;0.23;1
286;-10;20;0.23;1
287;-10;20;0.23;1
288;-10;20;0.23;1
289;-10;20;0.23;1
290;-10;20;0.23;1
291;-10;20;0.23;1
292;-10;20;0.23;1
293;-10;20;0.23;1
294;-10;20;0.23;1
295;-10;20;0.23;1
296;-10;20;0.23;1
297;-10;20;0.23;1
298;-10;20;0.23;1
299;-10;20;0.23;1
300;-10;20;0.23;1
301;-10;20;0.23;1
302;-10;20;0.23;1
303;-10;20;0.23;1
304;-10;20;0.23;1
305;-10;20;0.23;1
306;-10;20;0.23;1
307;-10;20;0.23;1
308;-10;20;0.23;1
309;-10;20;0.23;1
310;-10;20;0.23;1
311;-10;20;0.23;1
312;-10;20;0.23;1
313;-10;20;0.23;1
314;-10;20;0.23;1
315;-10;20;0.23;1
316;-10;20;0.23;1
317;-10;20;0.23;1
318;-10;20;0.23;1
319;-10;20;0.23;1
320;-10;20;0.23;1
321;-10;20;0.23;1
322;-10;20;0.23;1
323;-10;20;0.23;1
324;-10;20;0.23;1
325;-10;20;0.23;1
326;-10;20;0.23;1
327;-10;20;0.23;1
328;-10;20;0.23;1
329;-10;20;0.23;1
330;-10;20;0.23;1
331;-10;20;0.23;1
332;-10;20;0.23;1
333;-10;20;0.23;1
334;-10;20;0.23;1
335;-10;20;0.23;1
336;-10;20;0.23;1
337;-10;20;0.23;1
338;-10;20;0.23;1
339;-10;20;0.23;1
340;-10;20;0.23;1
341;-10;20;0.23;1
342;-10;20;0.23;1
343;-10;20;0.23;1
344;-10;20;0.23;1
345;-10;20;0.23;1
346;-10;20;0.23;1
347;-10;20;0.23;1
348;-10;20;0.23;1
349;-10;20;0.23;1
350;-10;20;0.23;1
351;-10;20;0.23;1
352;-10;20;0.23;1
353;-10;20;0.23;1
354;-10;20;0.23;1
355;-10;20;0.23;1
356;-10;20;0.23;1
357;-10;20;0.23;1
358;-10;20;0.23;1
359;-10;20;0.23;1
360;-10;20;0.23;1
361;-10;20;0.23;1
362;-10;20;0.23;1
363;-10;20;0.23;1
364;-10;20;0.23;1
365;-10;20;0.23;1
366;-10;20;0.23;1
367;-10;20;0.23;1
368;-10;20;0.23;1
369;-10;20;0.23;1
370;-10;20;0.23;1
371;-10;20;0.23;1
372;-10;20;0.23;1
373;-10;20;0.23;1
374;-10;20;0.23;1
375;-10;20;0.23;1
376;-10;20;0.23;1
377;-10;20;0.23;1
378;-10;20;0.23;1
379;-10;20;0.23;1
380;-10;20;0.23;1
381;-10;20;0.23;1
382;-10;20;0.23;1
383;-10;20;0.23;1
384;-10;20;0.23;1
385;-10;20;0.23;1
386;-10;20;0.23;1
387;-10;20;0.23;1
388;-10;20;0.23;1
389;-10;20;0.23;1
390;-10;20;0.23;1
391;-10;20;0.23;1
392;-10;20;0.23;1
393;-10;20;0.23;1
394;-10;20;0.23;1
395;-10;20;0.23;1
396;-10;20;0.23;1
397;-10;20;0.23;1
398;-10;20;0.23;1
399;-10;20;0.23;1
400;-10;20;0.23;1
401;-10;20;0.23;1
402;-10;20;0.23;1
403;-10;20;0.23;1
404;-10;20;0.23;1
405;-10;20;0.23;1
406;-10;20;0.23;1
407;-10;20;0.23;1
408;-10;20;0.23;1
409;-10;20;0.23;1
410;-10;20;0.23;1
411;-10;20;0.23;1
412;-10;20;0.23;1
413;-10;20;0.23;1
414;-10;20;0.23;1
415;-10;20;0.23;1
416;-10;20;0.23;1
417;-10;20;0.23;1
418;-10;20;0.23;1
419;-10;20;0.23;1
420;-10;20;0.23;1
421;-10;20;0.23;1
422;-10;20;0.23;1
423;-10;20;0.23;1
424;-10;20;0.23;1
425;-10;20;0.23;1
426;-10;20;0.23;1
427;-10;20;0.23;1
428;-10;20;0.23;1
429;-10;20;0.23;1
430;-10;20;0.23;1
431;-10;20;0.23;1
432;-10;20;0.23;1
433;-10;20;0.23;1
434;-10;20;0.23;1
435;-10;20;0.23;1
436;-10;20;0.23;1
437;-10;20;0.23;1
438;-10;20;0.23;1
439;-10;20;0.23;1
440;-10;20;0.23;1
441;-10;20;0.23;1
442;-10;20;0.23;1
443;-10;20;0.23;1
444;-10;20;0.23;1
445;-10;20;0.23;1
446;-10;20;0.23;1
447;-10;20;0.23;1
